ARB Arm Blade Position LF,ARB Arm Blade Position RF,ARB Arm Blade Position LR,ARB Arm Blade Position RR,Additional ARB Rounds Front,Additional ARB Rounds Rear,Additional Fuel Mass,Additional Spring Rounds LF,Additional Spring Rounds RF,Additional Spring Rounds LR,Additional Spring Rounds RR,Atmospheric Conditions - Air Pressure,Atmospheric Conditions - Air Temperature,Atmospheric Conditions - Relative Humidity,Camber LF,Camber RF,Camber LR,Camber RR,Spring Rate LF,Spring Rate RF,Spring Rate LR,Spring Rate RR,Toe Inches LF,Toe Inches RF,Toe Inches LR,Toe Inches RR,Differential Preload Pressure,Cross Weight % Race Unhooked,Cross Weight % Race Hooked,Nose Weight % Race Hooked,Frame Height LF Race Unhooked,Frame Height RF Race Unhooked,Frame Height RR Race Unhooked,Tire Cold Pressure LF,Tire Cold Pressure LR,Tire Cold Pressure RF,Tire Cold Pressure RR,Right Side Weight Race Hooked,Speed Profile Lap Sim Track Mu,Rollout Delta RR
P5,P5,P3,P1,0.000,0.000,-40.000,0.000,0.000,0.000,0.000,29.980,85.000,78.000,0.759,-3.681,1.498,-3.905,4721,4671,2419,1225,0.000,0.000,-0.096,0.046,450.000,58.000,58.000,51.100,2.020,2.260,2.340,27.0,27.0,47.0,45.0,1720,1.000,0.000
P5,P5,P4,P1,0.000,0.000,-40.000,0.000,0.000,0.000,0.000,29.980,85.000,78.000,0.759,-3.681,1.498,-3.905,4721,4671,2419,1225,0.000,0.000,-0.096,0.046,450.000,58.000,58.000,51.100,2.020,2.260,2.340,27.0,27.0,47.0,45.0,1720,1.000,0.000
P5,P5,P5,P1,0.000,0.000,-40.000,0.000,0.000,0.000,0.000,29.980,85.000,78.000,0.759,-3.681,1.498,-3.905,4721,4671,2419,1225,0.000,0.000,-0.096,0.046,450.000,58.000,58.000,51.100,2.020,2.260,2.340,27.0,27.0,47.0,45.0,1720,1.000,0.000
P5,P5,P1,P1,0.000,0.000,-40.000,0.000,0.000,0.000,0.000,29.980,85.000,78.000,0.759,-3.681,1.498,-3.905,4721,4671,2419,1225,0.000,0.000,-0.096,0.046,450.000,58.000,58.000,51.100,2.020,2.260,2.340,27.0,27.0,47.0,45.0,1720,1.000,0.000
P5,P5,P1,P2,0.000,0.000,-40.000,0.000,0.000,0.000,0.000,29.980,85.000,78.000,0.759,-3.681,1.498,-3.905,4721,4671,2419,1225,0.000,0.000,-0.096,0.046,450.000,58.000,58.000,51.100,2.020,2.260,2.340,27.0,27.0,47.0,45.0,1720,1.000,0.000
P5,P5,P1,P3,0.000,0.000,-40.000,0.000,0.000,0.000,0.000,29.980,85.000,78.000,0.759,-3.681,1.498,-3.905,4721,4671,2419,1225,0.000,0.000,-0.096,0.046,450.000,58.000,58.000,51.100,2.020,2.260,2.340,27.0,27.0,47.0,45.0,1720,1.000,0.000
P5,P5,P1,P4,0.000,0.000,-40.000,0.000,0.000,0.000,0.000,29.980,85.000,78.000,0.759,-3.681,1.498,-3.905,4721,4671,2419,1225,0.000,0.000,-0.096,0.046,450.000,58.000,58.000,51.100,2.020,2.260,2.340,27.0,27.0,47.0,45.0,1720,1.000,0.000
P5,P5,P1,P5,0.000,0.000,-40.000,0.000,0.000,0.000,0.000,29.980,85.000,78.000,0.759,-3.681,1.498,-3.905,4721,4671,2419,1225,0.000,0.000,-0.096,0.046,450.000,58.000,58.000,51.100,2.020,2.260,2.340,27.0,27.0,47.0,45.0,1720,1.000,0.000
P5,P5,P1,P1,-4,0.000,-40.000,0.000,0.000,0.000,0.000,29.980,85.000,78.000,0.759,-3.681,1.498,-3.905,4721,4671,2419,1225,0.000,0.000,-0.096,0.046,450.000,58.000,58.000,51.100,2.020,2.260,2.340,27.0,27.0,47.0,45.0,1720,1.000,0.000
P5,P5,P1,P1,-2.85714285714286,0.000,-40.000,0.000,0.000,0.000,0.000,29.980,85.000,78.000,0.759,-3.681,1.498,-3.905,4721,4671,2419,1225,0.000,0.000,-0.096,0.046,450.000,58.000,58.000,51.100,2.020,2.260,2.340,27.0,27.0,47.0,45.0,1720,1.000,0.000
P5,P5,P1,P1,-1.71428571428571,0.000,-40.000,0.000,0.000,0.000,0.000,29.980,85.000,78.000,0.759,-3.681,1.498,-3.905,4721,4671,2419,1225,0.000,0.000,-0.096,0.046,450.000,58.000,58.000,51.100,2.020,2.260,2.340,27.0,27.0,47.0,45.0,1720,1.000,0.000
P5,P5,P1,P1,-0.571428571428571,0.000,-40.000,0.000,0.000,0.000,0.000,29.980,85.000,78.000,0.759,-3.681,1.498,-3.905,4721,4671,2419,1225,0.000,0.000,-0.096,0.046,450.000,58.000,58.000,51.100,2.020,2.260,2.340,27.0,27.0,47.0,45.0,1720,1.000,0.000
P5,P5,P1,P1,0.571428571428571,0.000,-40.000,0.000,0.000,0.000,0.000,29.980,85.000,78.000,0.759,-3.681,1.498,-3.905,4721,4671,2419,1225,0.000,0.000,-0.096,0.046,450.000,58.000,58.000,51.100,2.020,2.260,2.340,27.0,27.0,47.0,45.0,1720,1.000,0.000
P5,P5,P1,P1,1.71428571428571,0.000,-40.000,0.000,0.000,0.000,0.000,29.980,85.000,78.000,0.759,-3.681,1.498,-3.905,4721,4671,2419,1225,0.000,0.000,-0.096,0.046,450.000,58.000,58.000,51.100,2.020,2.260,2.340,27.0,27.0,47.0,45.0,1720,1.000,0.000
P5,P5,P1,P1,2.85714285714286,0.000,-40.000,0.000,0.000,0.000,0.000,29.980,85.000,78.000,0.759,-3.681,1.498,-3.905,4721,4671,2419,1225,0.000,0.000,-0.096,0.046,450.000,58.000,58.000,51.100,2.020,2.260,2.340,27.0,27.0,47.0,45.0,1720,1.000,0.000
P5,P5,P1,P1,4,0.000,-40.000,0.000,0.000,0.000,0.000,29.980,85.000,78.000,0.759,-3.681,1.498,-3.905,4721,4671,2419,1225,0.000,0.000,-0.096,0.046,450.000,58.000,58.000,51.100,2.020,2.260,2.340,27.0,27.0,47.0,45.0,1720,1.000,0.000
P5,P5,P1,P1,0.000,-4,-40.000,0.000,0.000,0.000,0.000,29.980,85.000,78.000,0.759,-3.681,1.498,-3.905,4721,4671,2419,1225,0.000,0.000,-0.096,0.046,450.000,58.000,58.000,51.100,2.020,2.260,2.340,27.0,27.0,47.0,45.0,1720,1.000,0.000
P5,P5,P1,P1,0.000,-2.85714285714286,-40.000,0.000,0.000,0.000,0.000,29.980,85.000,78.000,0.759,-3.681,1.498,-3.905,4721,4671,2419,1225,0.000,0.000,-0.096,0.046,450.000,58.000,58.000,51.100,2.020,2.260,2.340,27.0,27.0,47.0,45.0,1720,1.000,0.000
P5,P5,P1,P1,0.000,-1.71428571428571,-40.000,0.000,0.000,0.000,0.000,29.980,85.000,78.000,0.759,-3.681,1.498,-3.905,4721,4671,2419,1225,0.000,0.000,-0.096,0.046,450.000,58.000,58.000,51.100,2.020,2.260,2.340,27.0,27.0,47.0,45.0,1720,1.000,0.000
P5,P5,P1,P1,0.000,-0.571428571428571,-40.000,0.000,0.000,0.000,0.000,29.980,85.000,78.000,0.759,-3.681,1.498,-3.905,4721,4671,2419,1225,0.000,0.000,-0.096,0.046,450.000,58.000,58.000,51.100,2.020,2.260,2.340,27.0,27.0,47.0,45.0,1720,1.000,0.000
P5,P5,P1,P1,0.000,0.571428571428571,-40.000,0.000,0.000,0.000,0.000,29.980,85.000,78.000,0.759,-3.681,1.498,-3.905,4721,4671,2419,1225,0.000,0.000,-0.096,0.046,450.000,58.000,58.000,51.100,2.020,2.260,2.340,27.0,27.0,47.0,45.0,1720,1.000,0.000
P5,P5,P1,P1,0.000,1.71428571428571,-40.000,0.000,0.000,0.000,0.000,29.980,85.000,78.000,0.759,-3.681,1.498,-3.905,4721,4671,2419,1225,0.000,0.000,-0.096,0.046,450.000,58.000,58.000,51.100,2.020,2.260,2.340,27.0,27.0,47.0,45.0,1720,1.000,0.000
P5,P5,P1,P1,0.000,2.85714285714286,-40.000,0.000,0.000,0.000,0.000,29.980,85.000,78.000,0.759,-3.681,1.498,-3.905,4721,4671,2419,1225,0.000,0.000,-0.096,0.046,450.000,58.000,58.000,51.100,2.020,2.260,2.340,27.0,27.0,47.0,45.0,1720,1.000,0.000
P5,P5,P1,P1,0.000,4,-40.000,0.000,0.000,0.000,0.000,29.980,85.000,78.000,0.759,-3.681,1.498,-3.905,4721,4671,2419,1225,0.000,0.000,-0.096,0.046,450.000,58.000,58.000,51.100,2.020,2.260,2.340,27.0,27.0,47.0,45.0,1720,1.000,0.000
P5,P5,P1,P1,0.000,0.000,-55,0.000,0.000,0.000,0.000,29.980,85.000,78.000,0.759,-3.681,1.498,-3.905,4721,4671,2419,1225,0.000,0.000,-0.096,0.046,450.000,58.000,58.000,51.100,2.020,2.260,2.340,27.0,27.0,47.0,45.0,1720,1.000,0.000
P5,P5,P1,P1,0.000,0.000,-50.7142857142857,0.000,0.000,0.000,0.000,29.980,85.000,78.000,0.759,-3.681,1.498,-3.905,4721,4671,2419,1225,0.000,0.000,-0.096,0.046,450.000,58.000,58.000,51.100,2.020,2.260,2.340,27.0,27.0,47.0,45.0,1720,1.000,0.000
P5,P5,P1,P1,0.000,0.000,-46.4285714285714,0.000,0.000,0.000,0.000,29.980,85.000,78.000,0.759,-3.681,1.498,-3.905,4721,4671,2419,1225,0.000,0.000,-0.096,0.046,450.000,58.000,58.000,51.100,2.020,2.260,2.340,27.0,27.0,47.0,45.0,1720,1.000,0.000
P5,P5,P1,P1,0.000,0.000,-42.1428571428571,0.000,0.000,0.000,0.000,29.980,85.000,78.000,0.759,-3.681,1.498,-3.905,4721,4671,2419,1225,0.000,0.000,-0.096,0.046,450.000,58.000,58.000,51.100,2.020,2.260,2.340,27.0,27.0,47.0,45.0,1720,1.000,0.000
P5,P5,P1,P1,0.000,0.000,-37.8571428571429,0.000,0.000,0.000,0.000,29.980,85.000,78.000,0.759,-3.681,1.498,-3.905,4721,4671,2419,1225,0.000,0.000,-0.096,0.046,450.000,58.000,58.000,51.100,2.020,2.260,2.340,27.0,27.0,47.0,45.0,1720,1.000,0.000
P5,P5,P1,P1,0.000,0.000,-33.5714285714286,0.000,0.000,0.000,0.000,29.980,85.000,78.000,0.759,-3.681,1.498,-3.905,4721,4671,2419,1225,0.000,0.000,-0.096,0.046,450.000,58.000,58.000,51.100,2.020,2.260,2.340,27.0,27.0,47.0,45.0,1720,1.000,0.000
P5,P5,P1,P1,0.000,0.000,-29.2857142857143,0.000,0.000,0.000,0.000,29.980,85.000,78.000,0.759,-3.681,1.498,-3.905,4721,4671,2419,1225,0.000,0.000,-0.096,0.046,450.000,58.000,58.000,51.100,2.020,2.260,2.340,27.0,27.0,47.0,45.0,1720,1.000,0.000
P5,P5,P1,P1,0.000,0.000,-25,0.000,0.000,0.000,0.000,29.980,85.000,78.000,0.759,-3.681,1.498,-3.905,4721,4671,2419,1225,0.000,0.000,-0.096,0.046,450.000,58.000,58.000,51.100,2.020,2.260,2.340,27.0,27.0,47.0,45.0,1720,1.000,0.000
P5,P5,P1,P1,0.000,0.000,-40.000,-4,0.000,0.000,0.000,29.980,85.000,78.000,0.759,-3.681,1.498,-3.905,4721,4671,2419,1225,0.000,0.000,-0.096,0.046,450.000,58.000,58.000,51.100,2.020,2.260,2.340,27.0,27.0,47.0,45.0,1720,1.000,0.000
P5,P5,P1,P1,0.000,0.000,-40.000,-3.11111111111111,0.000,0.000,0.000,29.980,85.000,78.000,0.759,-3.681,1.498,-3.905,4721,4671,2419,1225,0.000,0.000,-0.096,0.046,450.000,58.000,58.000,51.100,2.020,2.260,2.340,27.0,27.0,47.0,45.0,1720,1.000,0.000
P5,P5,P1,P1,0.000,0.000,-40.000,-2.22222222222222,0.000,0.000,0.000,29.980,85.000,78.000,0.759,-3.681,1.498,-3.905,4721,4671,2419,1225,0.000,0.000,-0.096,0.046,450.000,58.000,58.000,51.100,2.020,2.260,2.340,27.0,27.0,47.0,45.0,1720,1.000,0.000
P5,P5,P1,P1,0.000,0.000,-40.000,-1.33333333333333,0.000,0.000,0.000,29.980,85.000,78.000,0.759,-3.681,1.498,-3.905,4721,4671,2419,1225,0.000,0.000,-0.096,0.046,450.000,58.000,58.000,51.100,2.020,2.260,2.340,27.0,27.0,47.0,45.0,1720,1.000,0.000
P5,P5,P1,P1,0.000,0.000,-40.000,-0.444444444444444,0.000,0.000,0.000,29.980,85.000,78.000,0.759,-3.681,1.498,-3.905,4721,4671,2419,1225,0.000,0.000,-0.096,0.046,450.000,58.000,58.000,51.100,2.020,2.260,2.340,27.0,27.0,47.0,45.0,1720,1.000,0.000
P5,P5,P1,P1,0.000,0.000,-40.000,0.444444444444444,0.000,0.000,0.000,29.980,85.000,78.000,0.759,-3.681,1.498,-3.905,4721,4671,2419,1225,0.000,0.000,-0.096,0.046,450.000,58.000,58.000,51.100,2.020,2.260,2.340,27.0,27.0,47.0,45.0,1720,1.000,0.000
P5,P5,P1,P1,0.000,0.000,-40.000,1.33333333333333,0.000,0.000,0.000,29.980,85.000,78.000,0.759,-3.681,1.498,-3.905,4721,4671,2419,1225,0.000,0.000,-0.096,0.046,450.000,58.000,58.000,51.100,2.020,2.260,2.340,27.0,27.0,47.0,45.0,1720,1.000,0.000
P5,P5,P1,P1,0.000,0.000,-40.000,2.22222222222222,0.000,0.000,0.000,29.980,85.000,78.000,0.759,-3.681,1.498,-3.905,4721,4671,2419,1225,0.000,0.000,-0.096,0.046,450.000,58.000,58.000,51.100,2.020,2.260,2.340,27.0,27.0,47.0,45.0,1720,1.000,0.000
P5,P5,P1,P1,0.000,0.000,-40.000,3.11111111111111,0.000,0.000,0.000,29.980,85.000,78.000,0.759,-3.681,1.498,-3.905,4721,4671,2419,1225,0.000,0.000,-0.096,0.046,450.000,58.000,58.000,51.100,2.020,2.260,2.340,27.0,27.0,47.0,45.0,1720,1.000,0.000
P5,P5,P1,P1,0.000,0.000,-40.000,4,0.000,0.000,0.000,29.980,85.000,78.000,0.759,-3.681,1.498,-3.905,4721,4671,2419,1225,0.000,0.000,-0.096,0.046,450.000,58.000,58.000,51.100,2.020,2.260,2.340,27.0,27.0,47.0,45.0,1720,1.000,0.000
P5,P5,P1,P1,0.000,0.000,-40.000,0.000,-4,0.000,0.000,29.980,85.000,78.000,0.759,-3.681,1.498,-3.905,4721,4671,2419,1225,0.000,0.000,-0.096,0.046,450.000,58.000,58.000,51.100,2.020,2.260,2.340,27.0,27.0,47.0,45.0,1720,1.000,0.000
P5,P5,P1,P1,0.000,0.000,-40.000,0.000,-3.11111111111111,0.000,0.000,29.980,85.000,78.000,0.759,-3.681,1.498,-3.905,4721,4671,2419,1225,0.000,0.000,-0.096,0.046,450.000,58.000,58.000,51.100,2.020,2.260,2.340,27.0,27.0,47.0,45.0,1720,1.000,0.000
P5,P5,P1,P1,0.000,0.000,-40.000,0.000,-2.22222222222222,0.000,0.000,29.980,85.000,78.000,0.759,-3.681,1.498,-3.905,4721,4671,2419,1225,0.000,0.000,-0.096,0.046,450.000,58.000,58.000,51.100,2.020,2.260,2.340,27.0,27.0,47.0,45.0,1720,1.000,0.000
P5,P5,P1,P1,0.000,0.000,-40.000,0.000,-1.33333333333333,0.000,0.000,29.980,85.000,78.000,0.759,-3.681,1.498,-3.905,4721,4671,2419,1225,0.000,0.000,-0.096,0.046,450.000,58.000,58.000,51.100,2.020,2.260,2.340,27.0,27.0,47.0,45.0,1720,1.000,0.000
P5,P5,P1,P1,0.000,0.000,-40.000,0.000,-0.444444444444444,0.000,0.000,29.980,85.000,78.000,0.759,-3.681,1.498,-3.905,4721,4671,2419,1225,0.000,0.000,-0.096,0.046,450.000,58.000,58.000,51.100,2.020,2.260,2.340,27.0,27.0,47.0,45.0,1720,1.000,0.000
P5,P5,P1,P1,0.000,0.000,-40.000,0.000,0.444444444444444,0.000,0.000,29.980,85.000,78.000,0.759,-3.681,1.498,-3.905,4721,4671,2419,1225,0.000,0.000,-0.096,0.046,450.000,58.000,58.000,51.100,2.020,2.260,2.340,27.0,27.0,47.0,45.0,1720,1.000,0.000
P5,P5,P1,P1,0.000,0.000,-40.000,0.000,1.33333333333333,0.000,0.000,29.980,85.000,78.000,0.759,-3.681,1.498,-3.905,4721,4671,2419,1225,0.000,0.000,-0.096,0.046,450.000,58.000,58.000,51.100,2.020,2.260,2.340,27.0,27.0,47.0,45.0,1720,1.000,0.000
P5,P5,P1,P1,0.000,0.000,-40.000,0.000,2.22222222222222,0.000,0.000,29.980,85.000,78.000,0.759,-3.681,1.498,-3.905,4721,4671,2419,1225,0.000,0.000,-0.096,0.046,450.000,58.000,58.000,51.100,2.020,2.260,2.340,27.0,27.0,47.0,45.0,1720,1.000,0.000
P5,P5,P1,P1,0.000,0.000,-40.000,0.000,3.11111111111111,0.000,0.000,29.980,85.000,78.000,0.759,-3.681,1.498,-3.905,4721,4671,2419,1225,0.000,0.000,-0.096,0.046,450.000,58.000,58.000,51.100,2.020,2.260,2.340,27.0,27.0,47.0,45.0,1720,1.000,0.000
P5,P5,P1,P1,0.000,0.000,-40.000,0.000,4,0.000,0.000,29.980,85.000,78.000,0.759,-3.681,1.498,-3.905,4721,4671,2419,1225,0.000,0.000,-0.096,0.046,450.000,58.000,58.000,51.100,2.020,2.260,2.340,27.0,27.0,47.0,45.0,1720,1.000,0.000
P5,P5,P1,P1,0.000,0.000,-40.000,0.000,0.000,-4,0.000,29.980,85.000,78.000,0.759,-3.681,1.498,-3.905,4721,4671,2419,1225,0.000,0.000,-0.096,0.046,450.000,58.000,58.000,51.100,2.020,2.260,2.340,27.0,27.0,47.0,45.0,1720,1.000,0.000
P5,P5,P1,P1,0.000,0.000,-40.000,0.000,0.000,-3.11111111111111,0.000,29.980,85.000,78.000,0.759,-3.681,1.498,-3.905,4721,4671,2419,1225,0.000,0.000,-0.096,0.046,450.000,58.000,58.000,51.100,2.020,2.260,2.340,27.0,27.0,47.0,45.0,1720,1.000,0.000
P5,P5,P1,P1,0.000,0.000,-40.000,0.000,0.000,-2.22222222222222,0.000,29.980,85.000,78.000,0.759,-3.681,1.498,-3.905,4721,4671,2419,1225,0.000,0.000,-0.096,0.046,450.000,58.000,58.000,51.100,2.020,2.260,2.340,27.0,27.0,47.0,45.0,1720,1.000,0.000
P5,P5,P1,P1,0.000,0.000,-40.000,0.000,0.000,-1.33333333333333,0.000,29.980,85.000,78.000,0.759,-3.681,1.498,-3.905,4721,4671,2419,1225,0.000,0.000,-0.096,0.046,450.000,58.000,58.000,51.100,2.020,2.260,2.340,27.0,27.0,47.0,45.0,1720,1.000,0.000
P5,P5,P1,P1,0.000,0.000,-40.000,0.000,0.000,-0.444444444444444,0.000,29.980,85.000,78.000,0.759,-3.681,1.498,-3.905,4721,4671,2419,1225,0.000,0.000,-0.096,0.046,450.000,58.000,58.000,51.100,2.020,2.260,2.340,27.0,27.0,47.0,45.0,1720,1.000,0.000
P5,P5,P1,P1,0.000,0.000,-40.000,0.000,0.000,0.444444444444444,0.000,29.980,85.000,78.000,0.759,-3.681,1.498,-3.905,4721,4671,2419,1225,0.000,0.000,-0.096,0.046,450.000,58.000,58.000,51.100,2.020,2.260,2.340,27.0,27.0,47.0,45.0,1720,1.000,0.000
P5,P5,P1,P1,0.000,0.000,-40.000,0.000,0.000,1.33333333333333,0.000,29.980,85.000,78.000,0.759,-3.681,1.498,-3.905,4721,4671,2419,1225,0.000,0.000,-0.096,0.046,450.000,58.000,58.000,51.100,2.020,2.260,2.340,27.0,27.0,47.0,45.0,1720,1.000,0.000
P5,P5,P1,P1,0.000,0.000,-40.000,0.000,0.000,2.22222222222222,0.000,29.980,85.000,78.000,0.759,-3.681,1.498,-3.905,4721,4671,2419,1225,0.000,0.000,-0.096,0.046,450.000,58.000,58.000,51.100,2.020,2.260,2.340,27.0,27.0,47.0,45.0,1720,1.000,0.000
P5,P5,P1,P1,0.000,0.000,-40.000,0.000,0.000,3.11111111111111,0.000,29.980,85.000,78.000,0.759,-3.681,1.498,-3.905,4721,4671,2419,1225,0.000,0.000,-0.096,0.046,450.000,58.000,58.000,51.100,2.020,2.260,2.340,27.0,27.0,47.0,45.0,1720,1.000,0.000
P5,P5,P1,P1,0.000,0.000,-40.000,0.000,0.000,4,0.000,29.980,85.000,78.000,0.759,-3.681,1.498,-3.905,4721,4671,2419,1225,0.000,0.000,-0.096,0.046,450.000,58.000,58.000,51.100,2.020,2.260,2.340,27.0,27.0,47.0,45.0,1720,1.000,0.000
P5,P5,P1,P1,0.000,0.000,-40.000,0.000,0.000,0.000,-4,29.980,85.000,78.000,0.759,-3.681,1.498,-3.905,4721,4671,2419,1225,0.000,0.000,-0.096,0.046,450.000,58.000,58.000,51.100,2.020,2.260,2.340,27.0,27.0,47.0,45.0,1720,1.000,0.000
P5,P5,P1,P1,0.000,0.000,-40.000,0.000,0.000,0.000,-3.11111111111111,29.980,85.000,78.000,0.759,-3.681,1.498,-3.905,4721,4671,2419,1225,0.000,0.000,-0.096,0.046,450.000,58.000,58.000,51.100,2.020,2.260,2.340,27.0,27.0,47.0,45.0,1720,1.000,0.000
P5,P5,P1,P1,0.000,0.000,-40.000,0.000,0.000,0.000,-2.22222222222222,29.980,85.000,78.000,0.759,-3.681,1.498,-3.905,4721,4671,2419,1225,0.000,0.000,-0.096,0.046,450.000,58.000,58.000,51.100,2.020,2.260,2.340,27.0,27.0,47.0,45.0,1720,1.000,0.000
P5,P5,P1,P1,0.000,0.000,-40.000,0.000,0.000,0.000,-1.33333333333333,29.980,85.000,78.000,0.759,-3.681,1.498,-3.905,4721,4671,2419,1225,0.000,0.000,-0.096,0.046,450.000,58.000,58.000,51.100,2.020,2.260,2.340,27.0,27.0,47.0,45.0,1720,1.000,0.000
P5,P5,P1,P1,0.000,0.000,-40.000,0.000,0.000,0.000,-0.444444444444444,29.980,85.000,78.000,0.759,-3.681,1.498,-3.905,4721,4671,2419,1225,0.000,0.000,-0.096,0.046,450.000,58.000,58.000,51.100,2.020,2.260,2.340,27.0,27.0,47.0,45.0,1720,1.000,0.000
P5,P5,P1,P1,0.000,0.000,-40.000,0.000,0.000,0.000,0.444444444444444,29.980,85.000,78.000,0.759,-3.681,1.498,-3.905,4721,4671,2419,1225,0.000,0.000,-0.096,0.046,450.000,58.000,58.000,51.100,2.020,2.260,2.340,27.0,27.0,47.0,45.0,1720,1.000,0.000
P5,P5,P1,P1,0.000,0.000,-40.000,0.000,0.000,0.000,1.33333333333333,29.980,85.000,78.000,0.759,-3.681,1.498,-3.905,4721,4671,2419,1225,0.000,0.000,-0.096,0.046,450.000,58.000,58.000,51.100,2.020,2.260,2.340,27.0,27.0,47.0,45.0,1720,1.000,0.000
P5,P5,P1,P1,0.000,0.000,-40.000,0.000,0.000,0.000,2.22222222222222,29.980,85.000,78.000,0.759,-3.681,1.498,-3.905,4721,4671,2419,1225,0.000,0.000,-0.096,0.046,450.000,58.000,58.000,51.100,2.020,2.260,2.340,27.0,27.0,47.0,45.0,1720,1.000,0.000
